SelectVenue,TasteofFood,QualityofFood,ManuVariety,ValuefortheMoney,OrderAccuracy,SpeedofService,Ambiance,OverallSatisfaction,Recomendation
StarMarquee,Excellent,Good,Good,Excellent,Good,Good,Fair,Excellent,Probablyyes
StarMarquee,Good,Excellent,Good,Excellent,Good,Good,Excellent,Good,Probablyyes
TheSheratonMarquee,Fair,Good,Excellent,Good,Excellent,Fair,Good,Fair,Probablyno
StarMarquee,Good,Excellent,Good,Excellent,Good,Good,Good,Excellent,Probablyyes
RoyalPalmMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Definitelyyes
StarMarquee,Excellent,Good,Excellent,Good,Excellent,Good,Good,Excellent,Probablyyes
WeddingMarquee,Fair,Good,Good,Fair,Fair,Fair,Fair,Good,Probablyyes
SevenSeasMarquee,Good,Fair,Good,Good,Good,Excellent,Fair,Excellent,Probablyyes
SevenSeasMarquee,Good,Fair,Excellent,Good,Good,Excellent,Excellent,Good,Definitelyyes
KhayyamBanquetHall,Good,Good,Good,Fair,Good,Fair,Good,Good,Probablyyes
SevenSeasMarquee,Good,Excellent,Good,Good,Excellent,Good,Good,Excellent,Probablyyes
JumeirahPalace,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
SevenSeasMarquee,Good,Excellent,Good,Excellent,Good,Fair,Excellent,Good,Definitelyyes
LaraibBanquet,Fair,Fair,Fair,Poor,Good,Fair,Fair,Fair,Probablyno
SevenSeasMarquee,Good,Excellent,Good,Fair,Excellent,Good,Good,Good,Definitelyyes
KoheToorMarquee,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Good,Definitelyyes
KoheToorMarquee,Good,Excellent,Good,Fair,Good,Excellent,Good,Good,Definitelyyes
KoheToorMarquee,Good,Excellent,Good,Good,Good,Excellent,Good,Excellent,Definitelyyes
KoheToorMarquee,Good,Good,Excellent,Good,Excellent,Good,Excellent,Good,Probablyyes
KoheToorMarquee,Excellent,Good,Excellent,Fair,Good,Good,Excellent,Good,Definitelyyes
TheCastleMarquee,Good,Excellent,Good,Good,Excellent,Good,Excellent,Good,Definitelyyes
TheCastleMarquee,Good,Good,Excellent,Good,Fair,Good,Good,Good,Probablyyes
TheCastleMarquee,Good,Good,Excellent,Good,Excellent,Good,Fair,Excellent,Definitelyyes
TheCastleMarquee,Good,Good,Excellent,Good,Excellent,Good,Excellent,Good,Definitelyyes
TheCastleMarquee,Good,Good,Excellent,Good,Excellent,Good,Good,Excellent,Probablyyes
TheCastleMarquee,Good,Good,Excellent,Good,Good,Excellent,Good,Excellent,Definitelyyes
LayalpurMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
LayalpurMarquee,Good,Excellent,Good,Good,Good,Excellent,Good,Excellent,Definitelyyes
LayalpurMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Good,Good,Probablyyes
LayalpurMarquee,Good,Good,Excellent,Good,Excellent,Good,Good,Excellent,Definitelyyes
LayalpurMarquee,Good,Excellent,Good,Good,Excellent,Good,Good,Excellent,Definitelyyes
LayalpurMarquee,Good,Excellent,Good,Excellent,Good,Good,Good,Good,Probablyyes
RoyalPalaceMarquee,Good,Good,Good,Excellent,Good,Good,Excellent,Excellent,Probablyyes
RoyalPalaceMarquee,Good,Excellent,Good,Good,Good,Excellent,Good,Excellent,Definitelyyes
RoyalPalaceMarquee,Good,Excellent,Good,Good,Excellent,Good,Good,Excellent,Definitelyyes
RoyalPalaceMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Probablyyes
RoyalPalaceMarquee,Good,Excellent,Good,Good,Good,Excellent,Good,Good,Definitelyyes
VictoriaMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Good,Good,Definitelyyes
VictoriaMarquee,Good,Excellent,Good,Excellent,Good,Good,Excellent,Good,Definitelyyes
VictoriaMarquee,Good,Good,Good,Good,Good,Excellent,Good,Good,Definitelyyes
VictoriaMarquee,Good,Excellent,Excellent,Excellent,Good,Good,Fair,Excellent,Definitelyyes
VictoriaMarquee,Good,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,Probablyyes
ParadiseGrandMarquee,Excellent,Excellent,Good,Excellent,Good,Good,Good,Excellent,Definitelyyes
ParadiseGrandMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
ParadiseGrandMarquee,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Good,Definitelyyes
ParadiseGrandMarquee,Good,Excellent,Good,Excellent,Excellent,Good,Excellent,Excellent,Definitelyyes
TheSheratonMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
TheSheratonMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Probablyyes
TheSheratonMarquee,Fair,Excellent,Good,Excellent,Good,Fair,Fair,Fair,Probablyno
TheSheratonMarquee,Good,Excellent,Good,Excellent,Good,Good,Excellent,Excellent,Probablyyes
TheSheratonMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Good,Definitelyyes
TheSheratonMarquee,Good,Good,Excellent,Good,Excellent,Good,Excellent,Good,Definitelyyes
TheSheratonMarquee,Good,Excellent,Good,Excellent,Good,Good,Good,Excellent,Definitelyyes
RoyalPalmMarquee,Good,Excellent,Good,Excellent,Good,Good,Excellent,Good,Definitelyyes
RoyalPalmMarquee,Good,Good,Excellent,Good,Excellent,Good,Good,Excellent,Probablyyes
RoyalPalmMarquee,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Probablyyes
TheSheratonMarquee,Good,Good,Excellent,Good,Excellent,Good,Good,Excellent,Definitelyyes
RoyalPalmMarquee,Good,Excellent,Good,Excellent,Good,Good,Good,Excellent,Probablyyes
RoyalPalmMarquee,Good,Good,Excellent,Good,Fair,Fair,Fair,Fair,Probablyno
TheSheratonMarquee,Poor,Fair,Poor,Fair,Fair,Poor,Poor,Poor,Definitelyno
RoyalPalmMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Probablyyes
TheSheratonMarquee,Good,Excellent,Good,Excellent,Excellent,Good,Excellent,Good,Probablyyes
WeddingMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
WeddingMarquee,Good,Good,Excellent,Good,Good,Excellent,Good,Excellent,Probablyyes
WeddingMarquee,Good,Excellent,Good,Good,Excellent,Good,Excellent,Good,Probablyyes
WeddingMarquee,Fair,Excellent,Excellent,Good,Good,Excellent,Good,Good,Probablyyes
WeddingMarquee,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Probablyyes
WeddingMarquee,Good,Good,Fair,Excellent,Fair,Good,Good,Good,Definitelyyes
WeddingMarquee,Good,Good,Excellent,Good,Excellent,Good,Good,Good,Definitelyyes
CrownPalaceMarquee,Good,Good,Excellent,Poor,Excellent,Good,Good,Excellent,Definitelyyes
CrownPalaceMarquee,Good,Excellent,Good,Excellent,Good,Good,Excellent,Good,Definitelyyes
CrownPalaceMarquee,Good,Fair,Fair,Fair,Excellent,Fair,Good,Good,Definitelyyes
CrownPalaceMarquee,Good,Excellent,Good,Good,Excellent,Good,Good,Good,Definitelyyes
CrownPalaceMarquee,Good,Good,Good,Good,Good,Excellent,Good,Excellent,Definitelyyes
LaraibBanquet,Good,Excellent,Good,Excellent,Good,Excellent,Good,Good,Definitelyyes
LaraibBanquet,Good,Good,Excellent,Good,Excellent,Good,Good,Excellent,Definitelyyes
CrownPalaceMarquee,Good,Good,Excellent,Good,Excellent,Good,Excellent,Good,Definitelyyes
LaraibBanquet,Good,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,Definitelyyes
LaraibBanquet,Good,Good,Good,Excellent,Good,Good,Excellent,Good,Definitelyyes
LaraibBanquet,Good,Good,Excellent,Good,Excellent,Good,Good,Excellent,Probablyyes
LaraibBanquet,Good,Excellent,Excellent,Good,Excellent,Good,Good,Excellent,Definitelyyes
LaraibBanquet,Good,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
LaraibBanquet,Good,Excellent,Good,Excellent,Good,Good,Excellent,Good,Definitelyyes
LaraibBanquet,Good,Good,Excellent,Good,Good,Excellent,Fair,Excellent,Probablyyes
LaraibBanquet,Good,Excellent,Good,Good,Excellent,Good,Excellent,Good,Definitelyyes
JumeirahPalace,Good,Excellent,Good,Excellent,Good,Excellent,Poor,Excellent,Definitelyyes
JumeirahPalace,Good,Excellent,Good,Excellent,Good,Good,Excellent,Good,Definitelyyes
JumeirahPalace,Good,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
JumeirahPalace,Good,Excellent,Good,Excellent,Good,Good,Excellent,Excellent,Definitelyyes
JumeirahPalace,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Definitelyyes
JumeirahPalace,Good,Excellent,Good,Good,Excellent,Good,Excellent,Good,Definitelyyes
KhayyamBanquetHall,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Definitelyyes
KhayyamBanquetHall,Good,Excellent,Good,Good,Excellent,Good,Good,Excellent,Definitelyyes
KhayyamBanquetHall,Good,Excellent,Good,Excellent,Good,Good,Excellent,Good,Definitelyyes
KhayyamBanquetHall,Good,Excellent,Good,Good,Excellent,Good,Excellent,Good,Definitelyyes
KhayyamBanquetHall,Good,Excellent,Good,Excellent,Good,Excellent,Good,Good,Definitelyyes
KhayyamBanquetHall,Good,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
CrystalsBanquetHall,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
CrystalsBanquetHall,Excellent,Excellent,Good,Good,Excellent,Good,Good,Excellent,Definitelyyes
CrystalsBanquetHall,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Definitelyyes
CrystalsBanquetHall,Excellent,Excellent,Good,Good,Good,Excellent,Good,Good,Probablyyes
CrystalsBanquetHall,Excellent,Excellent,Good,Excellent,Good,Good,Excellent,Excellent,Definitelyyes
PearlMarriageHall,Fair,Fair,Good,Poor,Fair,Good,Fair,Poor,Definitelyno
PearlMarriageHall,Good,Fair,Good,Fair,Good,Excellent,Fair,Fair,Probablyno
PearlMarriageHall,Good,Good,Excellent,Good,Good,Excellent,Good,Good,Probablyyes
PearlMarriageHall,Excellent,Excellent,Good,Good,Excellent,Good,Fair,Good,Probablyyes
PearlMarriageHall,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Probablyno
GulistanMarriageHall,Excellent,Excellent,Good,Good,Excellent,Good,Good,Good,Probablyyes
GulistanMarriageHall,Good,Good,Good,Good,Good,Good,Good,Good,Definitelyyes
GulistanMarriageHall,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
GulistanMarriageHall,Good,Good,Fair,Good,Good,Good,Good,Good,Probablyyes
GulistanMarriageHall,Excellent,Excellent,Fair,Good,Excellent,Excellent,Good,Excellent,Probablyyes
BandhanMarriageHall,Good,Good,Good,Good,Good,Good,Good,Good,Probablyyes
BandhanMarriageHall,Fair,Fair,Good,Poor,Good,Good,Excellent,Good,Probablyno
BandhanMarriageHall,Good,Fair,Good,Good,Good,Good,Fair,Fair,Probablyno
BandhanMarriageHall,Poor,Poor,Poor,Poor,Fair,Fair,Good,Poor,Definitelyno
BandhanMarriageHall,Good,Good,Good,Good,Fair,Excellent,Excellent,Good,Probablyyes
BandhanMarriageHall,Good,Good,Excellent,Good,Excellent,Good,Excellent,Good,Probablyyes
TamaseelMarriageHall,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Probablyno
TamaseelMarriageHall,Good,Good,Fair,Good,Excellent,Excellent,Good,Fair,Probablyno
TamaseelMarriageHall,Good,Fair,Good,Poor,Fair,Good,Fair,Good,Probablyyes
TamaseelMarriageHall,Good,Good,Fair,Poor,Good,Fair,Good,Good,Probablyyes
TamaseelMarriageHall,Poor,Poor,Fair,Poor,Good,Good,Fair,Fair,Probablyno
JumeirahPalace,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Definitelyyes
TheRoyalBanquet,Good,Good,Good,Fair,Fair,Fair,Fair,Fair,Probablyyes
RoyalPalmMarquee,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Definitelyyes
KhayyamBanquetHall,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
SevenSeasMarquee,Excellent,Fair,Excellent,Fair,Fair,Fair,Fair,Fair,Definitelyyes
QuilimMarquee,Fair,Fair,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
RoyalPalmMarquee,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Probablyyes
KoheToorMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Definitelyyes
RoyalPalmMarquee,Good,Good,Fair,Good,Excellent,Excellent,Good,Good,Probablyyes
QuilimMarquee,Good,Good,Fair,Fair,Good,Good,Fair,Good,Probablyyes
SevenSeasMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Definitelyyes
QuilimMarquee,Good,Good,Excellent,Good,Good,Excellent,Good,Fair,Probablyyes
RoyalPalmMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
SevenSeasMarquee,Fair,Fair,Good,Fair,Fair,Fair,Fair,Fair,Probablyno
QuilimMarquee,Good,Good,Excellent,Fair,Good,Good,Good,Good,Probablyyes
StarMarquee,Good,Excellent,Fair,Good,Good,Fair,Good,Good,Probablyno
SevenSeasMarquee,Good,Good,Good,Fair,Excellent,Good,Good,Excellent,Definitelyyes
KoheToorMarquee,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,Definitelyyes
TheCastleMarquee,Good,Fair,Fair,Good,Good,Excellent,Good,Excellent,Probablyyes
LayalpurMarquee,Excellent,Good,Fair,Good,Good,Good,Excellent,Good,Probablyyes
RoyalPalaceMarquee,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Good,Definitelyyes
VictoriaMarquee,Good,Good,Good,Good,Excellent,Good,Good,Good,Probablyyes
ParadiseGrandMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
TheSheratonMarquee,Fair,Fair,Fair,Fair,Poor,Poor,Fair,Poor,Probablyno
RoyalPalmMarquee,Good,Good,Excellent,Good,Excellent,Good,Good,Good,Probablyyes
WeddingMarquee,Fair,Good,Excellent,Excellent,Fair,Excellent,Good,Good,Probablyyes
VictoriaMarquee,Good,Good,Fair,Poor,Fair,Fair,Fair,Fair,Probablyyes
CrownPalaceMarquee,Good,Good,Excellent,Good,Good,Good,Excellent,Good,Probablyyes
LaraibBanquet,Good,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Definitelyyes
JumeirahPalace,Good,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Probablyyes
QuilimMarquee,Good,Good,Good,Fair,Fair,Fair,Good,Good,Probablyyes
CrownPalaceMarquee,Fair,Good,Good,Good,Good,Good,Good,Good,Probablyyes
TheRoyalBanquet,Good,Good,Good,Excellent,Good,Excellent,Good,Good,Probablyyes
FaisalabadMarriageHall,Good,Excellent,Good,Fair,Poor,Fair,Fair,Good,Probablyno
CrystalsBanquetHall,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,Definitelyyes
PearlMarriageHall,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Probablyyes
GulistanMarriageHall,Good,Good,Excellent,Good,Fair,Fair,Fair,Good,Probablyyes
BandhanMarriageHall,Good,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Probablyno
TamaseelMarriageHall,Good,Poor,Fair,Good,Good,Fair,Fair,Good,Probablyyes
RoyalPalmMarquee,Good,Good,Good,Fair,Good,Good,Good,Good,Definitelyyes
QuilimMarquee,Good,Good,Excellent,Good,Excellent,Fair,Excellent,Good,Probablyyes
LayalpurMarquee,Excellent,Excellent,Good,Good,Fair,Fair,Poor,Poor,Definitelyyes
VictoriaMarquee,Excellent,Good,Fair,Poor,Fair,Good,Excellent,Good,Probablyyes
GulistanMarriageHall,Good,Good,Good,Good,Good,Good,Good,Good,Probablyno
StarMarquee,Excellent,Good,Fair,Poor,Fair,Good,Excellent,Good,Definitelyyes
TheCastleMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
TheCastleMarquee,Fair,Excellent,Good,Good,Fair,Excellent,Excellent,Fair,Probablyyes
VictoriaMarquee,Excellent,Fair,Fair,Fair,Fair,Excellent,Fair,Good,Probablyyes
RoyalPalaceMarquee,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,Probablyyes
VictoriaMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
QuilimMarquee,Good,Good,Good,Good,Good,Good,Good,Good,Definitelyyes
LayalpurMarquee,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Good,Definitelyyes
RoyalPalmMarquee,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Probablyyes
TheSheratonMarquee,Good,Good,Good,Good,Good,Good,Good,Good,Probablyyes
GulistanMarriageHall,Fair,Poor,Fair,Poor,Fair,Poor,Fair,Poor,Probablyno
BandhanMarriageHall,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Definitelyno
KhayyamBanquetHall,Good,Good,Excellent,Good,Good,Good,Good,Good,Probablyyes
TamaseelMarriageHall,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Definitelyno
VictoriaMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Probablyyes
KoheToorMarquee,Good,Excellent,Excellent,Good,Excellent,Excellent,Good,Excellent,Probablyyes
SevenSeasMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
LayalpurMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
VictoriaMarquee,Excellent,Excellent,Good,Good,Excellent,Excellent,Good,Good,Definitelyyes
LayalpurMarquee,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Definitelyyes
TheCastleMarquee,Good,Good,Good,Good,Good,Good,Good,Good,Definitelyyes
VictoriaMarquee,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Good,Definitelyyes
SevenSeasMarquee,Good,Excellent,Good,Fair,Good,Excellent,Good,Fair,Definitelyyes
VictoriaMarquee,Excellent,Good,Fair,Good,Excellent,Good,Fair,Good,Definitelyyes
TheCastleMarquee,Excellent,Good,Excellent,Good,Fair,Good,Fair,Good,Probablyyes
LayalpurMarquee,Fair,Good,Excellent,Good,Fair,Good,Excellent,Fair,Probablyyes
RoyalPalmMarquee,Good,Fair,Good,Fair,Fair,Good,Excellent,Fair,Probablyyes
LayalpurMarquee,Excellent,Good,Fair,Fair,Good,Excellent,Good,Fair,Definitelyyes
CrownPalaceMarquee,Excellent,Good,Excellent,Fair,Fair,Good,Good,Excellent,Probablyyes
ParadiseGrandMarquee,Excellent,Good,Fair,Good,Excellent,Good,Fair,Good,Probablyyes
TheCastleMarquee,Excellent,Excellent,Good,Good,Good,Good,Fair,Good,Probablyyes
RoyalPalmMarquee,Excellent,Good,Fair,Good,Excellent,Good,Fair,Good,Probablyyes
PearlMarriageHall,Good,Good,Fair,Fair,Good,Poor,Fair,Fair,Probablyno
TheSheratonMarquee,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
TheSheratonMarquee,Good,Excellent,Good,Fair,Good,Fair,Excellent,Good,Probablyyes
LayalpurMarquee,Good,Fair,Excellent,Good,Fair,Good,Excellent,Fair,Definitelyyes
WeddingMarquee,Good,Fair,Good,Fair,Excellent,Good,Fair,Good,Probablyyes
FaisalabadMarriageHall,Good,Fair,Poor,Poor,Good,Fair,Fair,Poor,Probablyno
PearlMarriageHall,Excellent,Good,Fair,Good,Excellent,Good,Fair,Good,Definitelyyes
CrystalsBanquetHall,Good,Excellent,Fair,Good,Excellent,Good,Fair,Excellent,Definitelyyes
TheRoyalBanquet,Excellent,Excellent,Good,Good,Excellent,Fair,Good,Excellent,Definitelyyes
TamaseelMarriageHall,Good,Excellent,Good,Excellent,Good,Excellent,Fair,Good,Definitelyyes
TheCastleMarquee,Excellent,Good,Good,Excellent,Good,Good,Excellent,Good,Probablyyes
TheCastleMarquee,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Probablyyes
KoheToorMarquee,Good,Fair,Fair,Fair,Good,Fair,Good,Fair,Probablyyes
ParadiseGrandMarquee,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Good,Probablyyes
JumeirahPalace,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Definitelyyes
WeddingMarquee,Excellent,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Probablyyes
FaisalabadMarriageHall,Good,Good,Good,Good,Good,Good,Good,Good,Probablyyes
TheRoyalBanquet,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Probablyyes
RoyalPalaceMarquee,Excellent,Good,Fair,Good,Good,Fair,Fair,Good,Probablyyes
KhayyamBanquetHall,Excellent,Good,Fair,Good,Excellent,Good,Excellent,Good,Definitelyyes
JumeirahPalace,Good,Good,Excellent,Good,Fair,Good,Fair,Excellent,Definitelyyes
LaraibBanquet,Good,Fair,Fair,Good,Fair,Poor,Fair,Good,Probablyno
WeddingMarquee,Excellent,Good,Fair,Good,Excellent,Good,Fair,Good,Probablyyes
KhayyamBanquetHall,Fair,Good,Poor,Fair,Fair,Poor,Fair,Fair,Definitelyno
JumeirahPalace,Good,Fair,Good,Poor,Fair,Poor,Fair,Poor,Probablyno
RoyalPalmMarquee,Excellent,Good,Excellent,Fair,Good,Excellent,Good,Fair,Probablyyes
JumeirahPalace,Good,Fair,Excellent,Fair,Excellent,Good,Fair,Good,Probablyyes
WeddingMarquee,Good,Excellent,Fair,Good,Excellent,Good,Fair,Good,Probablyyes
FaisalabadMarriageHall,Good,Excellent,Fair,Good,Excellent,Good,Fair,Good,Definitelyyes
LayalpurMarquee,Excellent,Good,Excellent,Fair,Excellent,Good,Good,Excellent,Probablyyes
TheRoyalBanquet,Excellent,Good,Fair,Good,Fair,Excellent,Good,Good,Probablyyes
PearlMarriageHall,Excellent,Good,Fair,Good,Excellent,Good,Fair,Good,Probablyyes
TheRoyalBanquet,Excellent,Good,Excellent,Fair,Good,Excellent,Good,Fair,Probablyyes
QuilimMarquee,Good,Good,Good,Good,Fair,Fair,Fair,Fair,Probablyyes
PearlMarriageHall,Excellent,Good,Fair,Good,Excellent,Good,Excellent,Excellent,Definitelyyes
BandhanMarriageHall,Excellent,Good,Fair,Good,Good,Fair,Good,Fair,Probablyyes
TheSheratonMarquee,Good,Fair,Excellent,Fair,Good,Poor,Fair,Fair,Probablyyes
FaisalabadMarriageHall,Good,Excellent,Good,Fair,Fair,Good,Excellent,Good,Definitelyyes
CrownPalaceMarquee,Good,Fair,Excellent,Fair,Good,Excellent,Fair,Excellent,Definitelyyes
PearlMarriageHall,Good,Excellent,Good,Excellent,Fair,Good,Good,Excellent,Definitelyyes
LayalpurMarquee,Good,Excellent,Excellent,Good,Fair,Good,Excellent,Excellent,Definitelyyes
KhayyamBanquetHall,Excellent,Good,Fair,Good,Excellent,Excellent,Excellent,Excellent,Definitelyyes
FaisalabadMarriageHall,Excellent,Fair,Good,Fair,Excellent,Fair,Good,Good,Probablyyes
TheRoyalBanquet,Excellent,Good,Fair,Good,Excellent,Good,Fair,Good,Probablyyes
JumeirahPalace,Good,Fair,Good,Poor,Fair,Good,Fair,Fair,Probablyno
TheRoyalBanquet,Good,Excellent,Fair,Good,Fair,Excellent,Good,Excellent,Definitelyyes
GulistanMarriageHall,Good,Fair,Good,Poor,Fair,Poor,Poor,Poor,Definitelyno
TheRoyalBanquet,Good,Excellent,Good,Fair,Good,Excellent,Good,Fair,Probablyyes
CrystalsBanquetHall,Good,Excellent,Good,Fair,Good,Excellent,Good,Fair,Probablyyes
KoheToorMarquee,Good,Fair,Poor,Fair,Good,Fair,Poor,Fair,Probablyno
ParadiseGrandMarquee,Excellent,Good,Fair,Good,Excellent,Good,Fair,Excellent,Definitelyyes
FaisalabadMarriageHall,Excellent,Good,Fair,Good,Good,Fair,Fair,Good,Probablyyes
TamaseelMarriageHall,Fair,Poor,Good,Fair,Poor,Fair,Good,Fair,Probablyno
PearlMarriageHall,Good,Excellent,Good,Fair,Fair,Good,Good,Fair,Probablyyes
BandhanMarriageHall,Fair,Good,Good,Good,Fair,Poor,Fair,Good,Probablyno
GulistanMarriageHall,Fair,Good,Fair,Poor,Fair,Good,Fair,Poor,Definitelyno
KhayyamBanquetHall,Excellent,Good,Excellent,Fair,Good,Excellent,Good,Excellent,Definitelyyes
JumeirahPalace,Good,Fair,Excellent,Good,Fair,Good,Fair,Good,Definitelyyes
LaraibBanquet,Good,Fair,Good,Poor,Good,Poor,Fair,Poor,Definitelyno
BandhanMarriageHall,Fair,Poor,Good,Fair,Fair,Good,Fair,Good,Probablyyes
PearlMarriageHall,Poor,Fair,Good,Fair,Poor,Fair,Fair,Fair,Probablyno
CrystalsBanquetHall,Good,Fair,Poor,Fair,Good,Fair,Poor,Fair,Probablyno
